TOP.5d5a6c11.0007e1b2	START
TOP.5d5b93de.000a7a6b	user_options->hwmon_disable	0
TOP.5d5b93de.000a7a6b	user_options->hwmon_temp_abort	90
TOP.5d5b93de.000a7a6b	user_options->hash_mode	13100
TOP.5d5b93de.000a7a6b	user_options->hex_charset	0
TOP.5d5b93de.000a7a6b	user_options->hex_salt	0
TOP.5d5b93de.000a7a6b	user_options->hex_wordlist	0
TOP.5d5b93de.000a7a6b	user_options->increment	0
TOP.5d5b93de.000a7a6b	user_options->increment_max	256
TOP.5d5b93de.000a7a6b	user_options->increment_min	1
TOP.5d5b93de.000a7a6b	user_options->keep_guessing	0
TOP.5d5b93de.000a7a6b	user_options->kernel_accel	0
TOP.5d5b93de.000a7a6b	user_options->kernel_loops	0
TOP.5d5b93de.000a7a6b	user_options->kernel_threads	0
TOP.5d5b93de.000a7a6b	user_options->keyspace	0
TOP.5d5b93de.000a7a6b	user_options->left	0
TOP.5d5b93de.000a7a6b	user_options->logfile_disable	0
TOP.5d5b93de.000a7a6b	user_options->loopback	0
TOP.5d5b93de.000a7a6b	user_options->machine_readable	0
TOP.5d5b93de.000a7a6b	user_options->markov_classic	0
TOP.5d5b93de.000a7a6b	user_options->markov_disable	0
TOP.5d5b93de.000a7a6b	user_options->markov_threshold	256
TOP.5d5b93de.000a7a6b	user_options->opencl_info	0
TOP.5d5b93de.000a7a6b	user_options->opencl_vector_width	0
TOP.5d5b93de.000a7a6b	user_options->optimized_kernel_enable	0
TOP.5d5b93de.000a7a6b	user_options->outfile_autohex	1
TOP.5d5b93de.000a7a6b	user_options->outfile_check_timer	5
TOP.5d5b93de.000a7a6b	user_options->outfile_format	3
TOP.5d5b93de.000a7a6b	user_options->wordlist_autohex_disable	0
TOP.5d5b93de.000a7a6b	user_options->potfile_disable	0
TOP.5d5b93de.000a7a6b	user_options->progress_only	0
TOP.5d5b93de.000a7a6b	user_options->quiet	0
TOP.5d5b93de.000a7a6b	user_options->remove	0
TOP.5d5b93de.000a7a6b	user_options->remove_timer	60
TOP.5d5b93de.000a7a6b	user_options->restore	0
TOP.5d5b93de.000a7a6b	user_options->restore_disable	0
TOP.5d5b93de.000a7a6b	user_options->restore_timer	60
TOP.5d5b93de.000a7a6b	user_options->rp_files_cnt	0
TOP.5d5b93de.000a7a6b	user_options->rp_gen	0
TOP.5d5b93de.000a7a6b	user_options->rp_gen_func_max	4
TOP.5d5b93de.000a7a6b	user_options->rp_gen_func_min	1
TOP.5d5b93de.000a7a6b	user_options->rp_gen_seed	0
TOP.5d5b93de.000a7a6b	user_options->runtime	0
TOP.5d5b93de.000a7a6b	user_options->scrypt_tmto	0
TOP.5d5b93de.000a7a6b	user_options->segment_size	33554432
TOP.5d5b93de.000a7a6b	user_options->self_test_disable	0
TOP.5d5b93de.000a7a6b	user_options->slow_candidates	0
TOP.5d5b93de.000a7a6b	user_options->show	0
TOP.5d5b93de.000a7a6b	user_options->speed_only	0
TOP.5d5b93de.000a7a6b	user_options->spin_damp	8
TOP.5d5b93de.000a7a6b	user_options->status	0
TOP.5d5b93de.000a7a6b	user_options->status_timer	10
TOP.5d5b93de.000a7a6b	user_options->stdout_flag	0
TOP.5d5b93de.000a7a6b	user_options->usage	0
TOP.5d5b93de.000a7a6b	user_options->username	0
TOP.5d5b93de.000a7a6b	user_options->veracrypt_pim	0
TOP.5d5b93de.000a7a6b	user_options->version	0
TOP.5d5b93de.000a7a6b	user_options->workload_profile	2
TOP.5d5b93de.000a7a6b	user_options->brain_client	0
TOP.5d5b93de.000a7a6b	user_options->brain_client_features	2
TOP.5d5b93de.000a7a6b	user_options->brain_server	0
TOP.5d5b93de.000a7a6b	user_options->brain_port	6863
TOP.5d5b93de.000a7a6b	user_options->brain_session	0
TOP.5d5b93de.000a7a6b	hashes->hashfile	def.yu.hash.txt
TOP.5d5b93de.000a7a6b	hashes->hashlist_mode	4
TOP.5d5b93de.000a7a6b	hashes->hashlist_format	0
TOP.5d5b93de.000a7a6b	hashes->hashes_cnt	0
TOP.5d5b93de.000a7a6b	hashes->digests_cnt	1
TOP.5d5b93de.000a7a6b	hashes->digests_done	0
TOP.5d5b93de.000a7a6b	hashes->salts_cnt	1
TOP.5d5b93de.000a7a6b	hashes->salts_done	0
TOP.5d5b93de.000a7a6b	SUB.5d5b93df.00022223	START
TOP.5d5b93de.000a7a6b	SUB.5d5b93df.00022223	straight_ctx->dict	E:\JCHackedTools\Dicts\×Öµä³¬³¬³¬È«\×Öµä¼°Éú³É¹¤¾ß\password_more.txt
TOP.5d5b93de.000a7a6b	SUB.5d5b93df.00022223	runtime_start	1566282721
TOP.5d5b93de.000a7a6b	SUB.5d5b93df.00022223	runtime_stop	1566282729
TOP.5d5b93de.000a7a6b	SUB.5d5b93df.00022223	status-after-work	5
TOP.5d5b93de.000a7a6b	SUB.5d5b93df.00022223	STOP
TOP.5d5b93de.000a7a6b	proc_start	1566282718
TOP.5d5b93de.000a7a6b	proc_stop	1566282730
TOP.5d5b93de.000a7a6b	STOP
TOP.5d5b9405.000077ab	START
TOP.5d5b9405.000077ab	user_options->separator	:
TOP.5d5b9405.000077ab	user_options->encoding_from	utf-8
TOP.5d5b9405.000077ab	user_options->encoding_to	utf-8
TOP.5d5b9405.000077ab	user_options->rule_buf_l	:
TOP.5d5b9405.000077ab	user_options->rule_buf_r	:
TOP.5d5b9405.000077ab	user_options->session	hashcat
TOP.5d5b9405.000077ab	user_options->limit	0
TOP.5d5b9405.000077ab	user_options->skip	0
TOP.5d5b9405.000077ab	user_options->attack_mode	0
TOP.5d5b9405.000077ab	user_options->benchmark	0
TOP.5d5b9405.000077ab	user_options->benchmark_all	0
TOP.5d5b9405.000077ab	user_options->bitmap_max	18
TOP.5d5b9405.000077ab	user_options->bitmap_min	16
TOP.5d5b9405.000077ab	user_options->debug_mode	0
TOP.5d5b9405.000077ab	user_options->example_hashes	0
TOP.5d5b9405.000077ab	user_options->force	0
TOP.5d5b9405.000077ab	user_options->hwmon_disable	0
TOP.5d5b9405.000077ab	user_options->hwmon_temp_abort	90
TOP.5d5b9405.000077ab	user_options->hash_mode	13100
TOP.5d5b9405.000077ab	user_options->hex_charset	0
TOP.5d5b9405.000077ab	user_options->hex_salt	0
TOP.5d5b9405.000077ab	user_options->hex_wordlist	0
TOP.5d5b9405.000077ab	user_options->increment	0
TOP.5d5b9405.000077ab	user_options->increment_max	256
TOP.5d5b9405.000077ab	user_options->increment_min	1
TOP.5d5b9405.000077ab	user_options->keep_guessing	0
TOP.5d5b9405.000077ab	user_options->kernel_accel	0
TOP.5d5b9405.000077ab	user_options->kernel_loops	0
TOP.5d5b9405.000077ab	user_options->kernel_threads	0
TOP.5d5b9405.000077ab	user_options->keyspace	0
TOP.5d5b9405.000077ab	user_options->left	0
TOP.5d5b9405.000077ab	user_options->logfile_disable	0
TOP.5d5b9405.000077ab	user_options->loopback	0
TOP.5d5b9405.000077ab	user_options->machine_readable	0
TOP.5d5b9405.000077ab	user_options->markov_classic	0
TOP.5d5b9405.000077ab	user_options->markov_disable	0
TOP.5d5b9405.000077ab	user_options->markov_threshold	256
TOP.5d5b9405.000077ab	user_options->opencl_info	0
TOP.5d5b9405.000077ab	user_options->opencl_vector_width	0
TOP.5d5b9405.000077ab	user_options->optimized_kernel_enable	0
TOP.5d5b9405.000077ab	user_options->outfile_autohex	1
TOP.5d5b9405.000077ab	user_options->outfile_check_timer	5
TOP.5d5b9405.000077ab	user_options->outfile_format	3
TOP.5d5b9405.000077ab	user_options->wordlist_autohex_disable	0
TOP.5d5b9405.000077ab	user_options->potfile_disable	0
TOP.5d5b9405.000077ab	user_options->progress_only	0
TOP.5d5b9405.000077ab	user_options->quiet	0
TOP.5d5b9405.000077ab	user_options->remove	0
TOP.5d5b9405.000077ab	user_options->remove_timer	60
TOP.5d5b9405.000077ab	user_options->restore	0
TOP.5d5b9405.000077ab	user_options->restore_disable	0
TOP.5d5b9405.000077ab	user_options->restore_timer	60
TOP.5d5b9405.000077ab	user_options->rp_files_cnt	0
TOP.5d5b9405.000077ab	user_options->rp_gen	0
TOP.5d5b9405.000077ab	user_options->rp_gen_func_max	4
TOP.5d5b9405.000077ab	user_options->rp_gen_func_min	1
TOP.5d5b9405.000077ab	user_options->rp_gen_seed	0
TOP.5d5b9405.000077ab	user_options->runtime	0
TOP.5d5b9405.000077ab	user_options->scrypt_tmto	0
TOP.5d5b9405.000077ab	user_options->segment_size	33554432
TOP.5d5b9405.000077ab	user_options->self_test_disable	0
TOP.5d5b9405.000077ab	user_options->slow_candidates	0
TOP.5d5b9405.000077ab	user_options->show	0
TOP.5d5b9405.000077ab	user_options->speed_only	0
TOP.5d5b9405.000077ab	user_options->spin_damp	8
TOP.5d5b9405.000077ab	user_options->status	0
TOP.5d5b9405.000077ab	user_options->status_timer	10
TOP.5d5b9405.000077ab	user_options->stdout_flag	0
TOP.5d5b9405.000077ab	user_options->usage	0
TOP.5d5b9405.000077ab	user_options->username	0
TOP.5d5b9405.000077ab	user_options->veracrypt_pim	0
TOP.5d5b9405.000077ab	user_options->version	0
TOP.5d5b9405.000077ab	user_options->workload_profile	2
TOP.5d5b9405.000077ab	user_options->brain_client	0
TOP.5d5b9405.000077ab	user_options->brain_client_features	2
TOP.5d5b9405.000077ab	user_options->brain_server	0
TOP.5d5b9405.000077ab	user_options->brain_port	6863
TOP.5d5b9405.000077ab	user_options->brain_session	0
TOP.5d5b9405.000077ab	hashes->hashfile	def.yu.hash.txt
TOP.5d5b9405.000077ab	hashes->hashlist_mode	4
TOP.5d5b9405.000077ab	hashes->hashlist_format	0
TOP.5d5b9405.000077ab	hashes->hashes_cnt	0
TOP.5d5b9405.000077ab	hashes->digests_cnt	1
TOP.5d5b9405.000077ab	hashes->digests_done	0
TOP.5d5b9405.000077ab	hashes->salts_cnt	1
TOP.5d5b9405.000077ab	hashes->salts_done	0
TOP.5d5b9405.000077ab	SUB.5d5b9405.00066cdb	START
TOP.5d5b9405.000077ab	SUB.5d5b9405.00066cdb	straight_ctx->dict	E:\JCHackedTools\Dicts\×Öµä³¬³¬³¬È«\×Öµä¼°Éú³É¹¤¾ß\password_big.txt
TOP.5d5b9405.000077ab	SUB.5d5b9405.00066cdb	runtime_start	1566282758
TOP.5d5b9405.000077ab	SUB.5d5b9405.00066cdb	runtime_stop	1566282760
TOP.5d5b9405.000077ab	SUB.5d5b9405.00066cdb	status-after-work	5
TOP.5d5b9405.000077ab	SUB.5d5b9405.00066cdb	STOP
TOP.5d5b9405.000077ab	proc_start	1566282757
TOP.5d5b9405.000077ab	proc_stop	1566282762
TOP.5d5b9405.000077ab	STOP
TOP.5d5ce24b.0009805b	START
TOP.5d5ce24b.0009805b	user_options->separator	:
TOP.5d5ce24b.0009805b	user_options->encoding_from	utf-8
TOP.5d5ce24b.0009805b	user_options->encoding_to	utf-8
TOP.5d5ce24b.0009805b	user_options->rule_buf_l	:
TOP.5d5ce24b.0009805b	user_options->rule_buf_r	:
TOP.5d5ce24b.0009805b	user_options->session	hashcat
TOP.5d5ce24b.0009805b	user_options->limit	0
TOP.5d5ce24b.0009805b	user_options->skip	0
TOP.5d5ce24b.0009805b	user_options->attack_mode	0
TOP.5d5ce24b.0009805b	user_options->benchmark	0
TOP.5d5ce24b.0009805b	user_options->benchmark_all	0
TOP.5d5ce24b.0009805b	user_options->bitmap_max	18
TOP.5d5ce24b.0009805b	user_options->bitmap_min	16
TOP.5d5ce24b.0009805b	user_options->debug_mode	0
TOP.5d5ce24b.0009805b	user_options->example_hashes	0
TOP.5d5ce24b.0009805b	user_options->force	1
TOP.5d5ce24b.0009805b	user_options->hwmon_disable	0
TOP.5d5ce24b.0009805b	user_options->hwmon_temp_abort	90
TOP.5d5ce24b.0009805b	user_options->hash_mode	13100
TOP.5d5ce24b.0009805b	user_options->hex_charset	0
TOP.5d5ce24b.0009805b	user_options->hex_salt	0
TOP.5d5ce24b.0009805b	user_options->hex_wordlist	0
TOP.5d5ce24b.0009805b	user_options->increment	0
TOP.5d5ce24b.0009805b	user_options->increment_max	256
TOP.5d5ce24b.0009805b	user_options->increment_min	1
TOP.5d5ce24b.0009805b	user_options->keep_guessing	0
TOP.5d5ce24b.0009805b	user_options->kernel_accel	0
TOP.5d5ce24b.0009805b	user_options->kernel_loops	0
TOP.5d5ce24b.0009805b	user_options->kernel_threads	0
TOP.5d5ce24b.0009805b	user_options->keyspace	0
TOP.5d5ce24b.0009805b	user_options->left	0
TOP.5d5ce24b.0009805b	user_options->logfile_disable	0
TOP.5d5ce24b.0009805b	user_options->loopback	0
TOP.5d5ce24b.0009805b	user_options->machine_readable	0
TOP.5d5ce24b.0009805b	user_options->markov_classic	0
TOP.5d5ce24b.0009805b	user_options->markov_disable	0
TOP.5d5ce24b.0009805b	user_options->markov_threshold	256
TOP.5d5ce24b.0009805b	user_options->opencl_info	0
TOP.5d5ce24b.0009805b	user_options->opencl_vector_width	0
TOP.5d5ce24b.0009805b	user_options->optimized_kernel_enable	0
TOP.5d5ce24b.0009805b	user_options->outfile_autohex	1
TOP.5d5ce24b.0009805b	user_options->outfile_check_timer	5
TOP.5d5ce24b.0009805b	user_options->outfile_format	3
TOP.5d5ce24b.0009805b	user_options->wordlist_autohex_disable	0
TOP.5d5ce24b.0009805b	user_options->potfile_disable	0
TOP.5d5ce24b.0009805b	user_options->progress_only	0
TOP.5d5ce24b.0009805b	user_options->quiet	0
TOP.5d5ce24b.0009805b	user_options->remove	0
TOP.5d5ce24b.0009805b	user_options->remove_timer	60
TOP.5d5ce24b.0009805b	user_options->restore	0
TOP.5d5ce24b.0009805b	user_options->restore_disable	0
TOP.5d5ce24b.0009805b	user_options->restore_timer	60
TOP.5d5ce24b.0009805b	user_options->rp_files_cnt	0
TOP.5d5ce24b.0009805b	user_options->rp_gen	0
TOP.5d5ce24b.0009805b	user_options->rp_gen_func_max	4
TOP.5d5ce24b.0009805b	user_options->rp_gen_func_min	1
TOP.5d5ce24b.0009805b	user_options->rp_gen_seed	0
TOP.5d5ce24b.0009805b	user_options->runtime	0
TOP.5d5ce24b.0009805b	user_options->scrypt_tmto	0
TOP.5d5ce24b.0009805b	user_options->segment_size	33554432
TOP.5d5ce24b.0009805b	user_options->self_test_disable	0
TOP.5d5ce24b.0009805b	user_options->slow_candidates	0
TOP.5d5ce24b.0009805b	user_options->show	0
TOP.5d5ce24b.0009805b	user_options->speed_only	0
TOP.5d5ce24b.0009805b	user_options->spin_damp	8
TOP.5d5ce24b.0009805b	user_options->status	0
TOP.5d5ce24b.0009805b	user_options->status_timer	10
TOP.5d5ce24b.0009805b	user_options->stdout_flag	0
TOP.5d5ce24b.0009805b	user_options->usage	0
TOP.5d5ce24b.0009805b	user_options->username	0
TOP.5d5ce24b.0009805b	user_options->veracrypt_pim	0
TOP.5d5ce24b.0009805b	user_options->version	0
TOP.5d5ce24b.0009805b	user_options->workload_profile	2
TOP.5d5ce24b.0009805b	user_options->brain_client	0
TOP.5d5ce24b.0009805b	user_options->brain_client_features	2
TOP.5d5ce24b.0009805b	user_options->brain_server	0
TOP.5d5ce24b.0009805b	user_options->brain_port	6863
TOP.5d5ce24b.0009805b	user_options->brain_session	0
TOP.5d5ce24b.0009805b	proc_start	1566368331
TOP.5d5ce24b.0009805b	proc_stop	1566368331
TOP.5d5ce24b.0009805b	STOP
TOP.5d5ce257.00088ea5	START
TOP.5d5ce257.00088ea5	user_options->separator	:
TOP.5d5ce257.00088ea5	user_options->encoding_from	utf-8
TOP.5d5ce257.00088ea5	user_options->encoding_to	utf-8
TOP.5d5ce257.00088ea5	user_options->rule_buf_l	:
TOP.5d5ce257.00088ea5	user_options->rule_buf_r	:
TOP.5d5ce257.00088ea5	user_options->session	hashcat
TOP.5d5ce257.00088ea5	user_options->limit	0
TOP.5d5ce257.00088ea5	user_options->skip	0
TOP.5d5ce257.00088ea5	user_options->attack_mode	0
TOP.5d5ce257.00088ea5	user_options->benchmark	0
TOP.5d5ce257.00088ea5	user_options->benchmark_all	0
TOP.5d5ce257.00088ea5	user_options->bitmap_max	18
TOP.5d5ce257.00088ea5	user_options->bitmap_min	16
TOP.5d5ce257.00088ea5	user_options->debug_mode	0
TOP.5d5ce257.00088ea5	user_options->example_hashes	0
TOP.5d5ce257.00088ea5	user_options->force	0
TOP.5d5ce257.00088ea5	user_options->hwmon_disable	0
TOP.5d5ce257.00088ea5	user_options->hwmon_temp_abort	90
TOP.5d5ce257.00088ea5	user_options->hash_mode	13100
TOP.5d5ce257.00088ea5	user_options->hex_charset	0
TOP.5d5ce257.00088ea5	user_options->hex_salt	0
TOP.5d5ce257.00088ea5	user_options->hex_wordlist	0
TOP.5d5ce257.00088ea5	user_options->increment	0
TOP.5d5ce257.00088ea5	user_options->increment_max	256
TOP.5d5ce257.00088ea5	user_options->increment_min	1
TOP.5d5ce257.00088ea5	user_options->keep_guessing	0
TOP.5d5ce257.00088ea5	user_options->kernel_accel	0
TOP.5d5ce257.00088ea5	user_options->kernel_loops	0
TOP.5d5ce257.00088ea5	user_options->kernel_threads	0
TOP.5d5ce257.00088ea5	user_options->keyspace	0
TOP.5d5ce257.00088ea5	user_options->left	0
TOP.5d5ce257.00088ea5	user_options->logfile_disable	0
TOP.5d5ce257.00088ea5	user_options->loopback	0
TOP.5d5ce257.00088ea5	user_options->machine_readable	0
TOP.5d5ce257.00088ea5	user_options->markov_classic	0
TOP.5d5ce257.00088ea5	user_options->markov_disable	0
TOP.5d5ce257.00088ea5	user_options->markov_threshold	256
TOP.5d5ce257.00088ea5	user_options->opencl_info	0
TOP.5d5ce257.00088ea5	user_options->opencl_vector_width	0
TOP.5d5ce257.00088ea5	user_options->optimized_kernel_enable	0
TOP.5d5ce257.00088ea5	user_options->outfile_autohex	1
TOP.5d5ce257.00088ea5	user_options->outfile_check_timer	5
TOP.5d5ce257.00088ea5	user_options->outfile_format	3
TOP.5d5ce257.00088ea5	user_options->wordlist_autohex_disable	0
TOP.5d5ce257.00088ea5	user_options->potfile_disable	0
TOP.5d5ce257.00088ea5	user_options->progress_only	0
TOP.5d5ce257.00088ea5	user_options->quiet	0
TOP.5d5ce257.00088ea5	user_options->remove	0
TOP.5d5ce257.00088ea5	user_options->remove_timer	60
TOP.5d5ce257.00088ea5	user_options->restore	0
TOP.5d5ce257.00088ea5	user_options->restore_disable	0
TOP.5d5ce257.00088ea5	user_options->restore_timer	60
TOP.5d5ce257.00088ea5	user_options->rp_files_cnt	0
TOP.5d5ce257.00088ea5	user_options->rp_gen	0
TOP.5d5ce257.00088ea5	user_options->rp_gen_func_max	4
TOP.5d5ce257.00088ea5	user_options->rp_gen_func_min	1
TOP.5d5ce257.00088ea5	user_options->rp_gen_seed	0
TOP.5d5ce257.00088ea5	user_options->runtime	0
TOP.5d5ce257.00088ea5	user_options->scrypt_tmto	0
TOP.5d5ce257.00088ea5	user_options->segment_size	33554432
TOP.5d5ce257.00088ea5	user_options->self_test_disable	0
TOP.5d5ce257.00088ea5	user_options->slow_candidates	0
TOP.5d5ce257.00088ea5	user_options->show	0
TOP.5d5ce257.00088ea5	user_options->speed_only	0
TOP.5d5ce257.00088ea5	user_options->spin_damp	8
TOP.5d5ce257.00088ea5	user_options->status	0
TOP.5d5ce257.00088ea5	user_options->status_timer	10
TOP.5d5ce257.00088ea5	user_options->stdout_flag	0
TOP.5d5ce257.00088ea5	user_options->usage	0
TOP.5d5ce257.00088ea5	user_options->username	0
TOP.5d5ce257.00088ea5	user_options->veracrypt_pim	0
TOP.5d5ce257.00088ea5	user_options->version	0
TOP.5d5ce257.00088ea5	user_options->workload_profile	2
TOP.5d5ce257.00088ea5	user_options->brain_client	0
TOP.5d5ce257.00088ea5	user_options->brain_client_features	2
TOP.5d5ce257.00088ea5	user_options->brain_server	0
TOP.5d5ce257.00088ea5	user_options->brain_port	6863
TOP.5d5ce257.00088ea5	user_options->brain_session	0
TOP.5d5ce257.00088ea5	proc_start	1566368343
TOP.5d5ce257.00088ea5	proc_stop	1566368343
TOP.5d5ce257.00088ea5	STOP
TOP.5d5ce281.000e2192	START
TOP.5d5ce281.000e2192	user_options->separator	:
TOP.5d5ce281.000e2192	user_options->encoding_from	utf-8
TOP.5d5ce281.000e2192	user_options->encoding_to	utf-8
TOP.5d5ce281.000e2192	user_options->rule_buf_l	:
TOP.5d5ce281.000e2192	user_options->rule_buf_r	:
TOP.5d5ce281.000e2192	user_options->session	hashcat
TOP.5d5ce281.000e2192	user_options->limit	0
TOP.5d5ce281.000e2192	user_options->skip	0
TOP.5d5ce281.000e2192	user_options->attack_mode	0
TOP.5d5ce281.000e2192	user_options->benchmark	0
TOP.5d5ce281.000e2192	user_options->benchmark_all	0
TOP.5d5ce281.000e2192	user_options->bitmap_max	18
TOP.5d5ce281.000e2192	user_options->bitmap_min	16
TOP.5d5ce281.000e2192	user_options->debug_mode	0
TOP.5d5ce281.000e2192	user_options->example_hashes	0
TOP.5d5ce281.000e2192	user_options->force	0
TOP.5d5ce281.000e2192	user_options->hwmon_disable	0
TOP.5d5ce281.000e2192	user_options->hwmon_temp_abort	90
TOP.5d5ce281.000e2192	user_options->hash_mode	13100
TOP.5d5ce281.000e2192	user_options->hex_charset	0
TOP.5d5ce281.000e2192	user_options->hex_salt	0
TOP.5d5ce281.000e2192	user_options->hex_wordlist	0
TOP.5d5ce281.000e2192	user_options->increment	0
TOP.5d5ce281.000e2192	user_options->increment_max	256
TOP.5d5ce281.000e2192	user_options->increment_min	1
TOP.5d5ce281.000e2192	user_options->keep_guessing	0
TOP.5d5ce281.000e2192	user_options->kernel_accel	0
TOP.5d5ce281.000e2192	user_options->kernel_loops	0
TOP.5d5ce281.000e2192	user_options->kernel_threads	0
TOP.5d5ce281.000e2192	user_options->keyspace	0
TOP.5d5ce281.000e2192	user_options->left	0
TOP.5d5ce281.000e2192	user_options->logfile_disable	0
TOP.5d5ce281.000e2192	user_options->loopback	0
TOP.5d5ce281.000e2192	user_options->machine_readable	0
TOP.5d5ce281.000e2192	user_options->markov_classic	0
TOP.5d5ce281.000e2192	user_options->markov_disable	0
TOP.5d5ce281.000e2192	user_options->markov_threshold	256
TOP.5d5ce281.000e2192	user_options->opencl_info	0
TOP.5d5ce281.000e2192	user_options->opencl_vector_width	0
TOP.5d5ce281.000e2192	user_options->optimized_kernel_enable	0
TOP.5d5ce281.000e2192	user_options->outfile_autohex	1
TOP.5d5ce281.000e2192	user_options->outfile_check_timer	5
TOP.5d5ce281.000e2192	user_options->outfile_format	3
TOP.5d5ce281.000e2192	user_options->wordlist_autohex_disable	0
TOP.5d5ce281.000e2192	user_options->potfile_disable	0
TOP.5d5ce281.000e2192	user_options->progress_only	0
TOP.5d5ce281.000e2192	user_options->quiet	0
TOP.5d5ce281.000e2192	user_options->remove	0
TOP.5d5ce281.000e2192	user_options->remove_timer	60
TOP.5d5ce281.000e2192	user_options->restore	0
TOP.5d5ce281.000e2192	user_options->restore_disable	0
TOP.5d5ce281.000e2192	user_options->restore_timer	60
TOP.5d5ce281.000e2192	user_options->rp_files_cnt	0
TOP.5d5ce281.000e2192	user_options->rp_gen	0
TOP.5d5ce281.000e2192	user_options->rp_gen_func_max	4
TOP.5d5ce281.000e2192	user_options->rp_gen_func_min	1
TOP.5d5ce281.000e2192	user_options->rp_gen_seed	0
TOP.5d5ce281.000e2192	user_options->runtime	0
TOP.5d5ce281.000e2192	user_options->scrypt_tmto	0
TOP.5d5ce281.000e2192	user_options->segment_size	33554432
TOP.5d5ce281.000e2192	user_options->self_test_disable	0
TOP.5d5ce281.000e2192	user_options->slow_candidates	0
TOP.5d5ce281.000e2192	user_options->show	0
TOP.5d5ce281.000e2192	user_options->speed_only	0
TOP.5d5ce281.000e2192	user_options->spin_damp	8
TOP.5d5ce281.000e2192	user_options->status	0
TOP.5d5ce281.000e2192	user_options->status_timer	10
TOP.5d5ce281.000e2192	user_options->stdout_flag	0
TOP.5d5ce281.000e2192	user_options->usage	0
TOP.5d5ce281.000e2192	user_options->username	0
TOP.5d5ce281.000e2192	user_options->veracrypt_pim	0
TOP.5d5ce281.000e2192	user_options->version	0
TOP.5d5ce281.000e2192	user_options->workload_profile	2
TOP.5d5ce281.000e2192	user_options->brain_client	0
TOP.5d5ce281.000e2192	user_options->brain_client_features	2
TOP.5d5ce281.000e2192	user_options->brain_server	0
TOP.5d5ce281.000e2192	user_options->brain_port	6863
TOP.5d5ce281.000e2192	user_options->brain_session	0
TOP.5d5ce281.000e2192	hashes->hashfile	D:\hackertools\hashcat\hash.txt
TOP.5d5ce281.000e2192	hashes->hashlist_mode	4
TOP.5d5ce281.000e2192	hashes->hashlist_format	0
TOP.5d5ce281.000e2192	hashes->hashes_cnt	0
TOP.5d5ce281.000e2192	hashes->digests_cnt	1
TOP.5d5ce281.000e2192	hashes->digests_done	0
TOP.5d5ce281.000e2192	hashes->salts_cnt	1
TOP.5d5ce281.000e2192	hashes->salts_done	0
TOP.5d5ce281.000e2192	proc_start	1566368385
TOP.5d5ce281.000e2192	proc_stop	1566368386
TOP.5d5ce281.000e2192	STOP
TOP.5d5ce2a4.0008b58f	START
TOP.5d5ce2a4.0008b58f	user_options->separator	:
TOP.5d5ce2a4.0008b58f	user_options->encoding_from	utf-8
TOP.5d5ce2a4.0008b58f	user_options->encoding_to	utf-8
TOP.5d5ce2a4.0008b58f	user_options->rule_buf_l	:
TOP.5d5ce2a4.0008b58f	user_options->rule_buf_r	:
TOP.5d5ce2a4.0008b58f	user_options->session	hashcat
TOP.5d5ce2a4.0008b58f	user_options->limit	0
TOP.5d5ce2a4.0008b58f	user_options->skip	0
TOP.5d5ce2a4.0008b58f	user_options->attack_mode	0
TOP.5d5ce2a4.0008b58f	user_options->benchmark	0
TOP.5d5ce2a4.0008b58f	user_options->benchmark_all	0
TOP.5d5ce2a4.0008b58f	user_options->bitmap_max	18
TOP.5d5ce2a4.0008b58f	user_options->bitmap_min	16
TOP.5d5ce2a4.0008b58f	user_options->debug_mode	0
TOP.5d5ce2a4.0008b58f	user_options->example_hashes	0
TOP.5d5ce2a4.0008b58f	user_options->force	0
TOP.5d5ce2a4.0008b58f	user_options->hwmon_disable	0
TOP.5d5ce2a4.0008b58f	user_options->hwmon_temp_abort	90
TOP.5d5ce2a4.0008b58f	user_options->hash_mode	13100
TOP.5d5ce2a4.0008b58f	user_options->hex_charset	0
TOP.5d5ce2a4.0008b58f	user_options->hex_salt	0
TOP.5d5ce2a4.0008b58f	user_options->hex_wordlist	0
TOP.5d5ce2a4.0008b58f	user_options->increment	0
TOP.5d5ce2a4.0008b58f	user_options->increment_max	256
TOP.5d5ce2a4.0008b58f	user_options->increment_min	1
TOP.5d5ce2a4.0008b58f	user_options->keep_guessing	0
TOP.5d5ce2a4.0008b58f	user_options->kernel_accel	0
TOP.5d5ce2a4.0008b58f	user_options->kernel_loops	0
TOP.5d5ce2a4.0008b58f	user_options->kernel_threads	0
TOP.5d5ce2a4.0008b58f	user_options->keyspace	0
TOP.5d5ce2a4.0008b58f	user_options->left	0
TOP.5d5ce2a4.0008b58f	user_options->logfile_disable	0
TOP.5d5ce2a4.0008b58f	user_options->loopback	0
TOP.5d5ce2a4.0008b58f	user_options->machine_readable	0
TOP.5d5ce2a4.0008b58f	user_options->markov_classic	0
TOP.5d5ce2a4.0008b58f	user_options->markov_disable	0
TOP.5d5ce2a4.0008b58f	user_options->markov_threshold	256
TOP.5d5ce2a4.0008b58f	user_options->opencl_info	0
TOP.5d5ce2a4.0008b58f	user_options->opencl_vector_width	0
TOP.5d5ce2a4.0008b58f	user_options->optimized_kernel_enable	0
TOP.5d5ce2a4.0008b58f	user_options->outfile_autohex	1
TOP.5d5ce2a4.0008b58f	user_options->outfile_check_timer	5
